Index,All Students,Minority,Economically Disadvantaged,Female,Male,Bil/ESL,Gifted,Special Ed,Title1,At Risk,Immigrant,Migrant,Dyslexic,Homeless,Foster Care,District,Year
85,35.3,0.857142857,0.5,0.305555556,0.694444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,31911,13
86,22.7,0.912891986,0.666666667,0.595744681,0.404255319,0.157232704,0.344827586,0.142857143,0.857142857,0.242424242,0.155279503,0.16025641,0,0,0,31912,13
87,6.9,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,31913,13
88,28.1,0.93877551,0.644444444,0.565217391,0.434782609,0.022222222,0.177777778,0.022222222,0.97826087,0.282608696,0.02173913,0.043478261,0,0,0,31916,13
89,11.1,0.857142857,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0,0,0,32902,13
90,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,34901,13
91,3.1,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.333333333,0.25,0.25,0,0,0,36901,13
92,55.4,0.560885609,0.108974359,0.576923077,0.423076923,0.125,0.282485876,0.125,0.125,0.064516129,0.125,0.125,0,0,0,36902,13
93,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,36903,13
94,50,0.902439024,0.651162791,0.561403509,0.438596491,0.378787879,0.431034483,0.373134328,0.666666667,0.423728814,0.373134328,0.333333333,0,0,0,37904,13
95,63.2,0.914634146,0.641025641,0.305555556,0.694444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,39902,13
96,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,39904,13
97,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,39905,13
98,55.6,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,40902,13
99,33.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,41901,13
100,25,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,42901,13
101,79.6,0.460625674,0.115874855,0.538638985,0.461361015,0.028571429,0.34751773,0.028571429,0.028571429,0.058823529,0.029069767,0.028571429,0,0,0,43901,13
102,52.3,0.877192982,0.531914894,0.451612903,0.548387097,0.462962963,0.490196078,0.462962963,0.333333333,0.480769231,0.462962963,0.333333333,0,0,0,43902,13
103,46.7,0.711340206,0.268817204,0.675324675,0.324675325,0.247524752,0.277777778,0.247524752,0.247524752,0.252525253,0.247524752,0.2,0,0,0,43903,13
104,33.3,0.872093023,0.520833333,0.375,0.625,0.333333333,0.520833333,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0,0,0,43904,13
105,74.5,0.444273241,0.070977918,0.533822758,0.466177242,0.01300052,0.159831756,0.007360673,0.01300052,0.037037037,0.013102725,0.012973534,0,0,0,43905,13
106,60.3,0.344615385,0.117572693,0.563602015,0.436397985,0.015586035,0.179519595,0.009481669,0.015384615,0.044444444,0.015683814,0.015384615,0,0,0,43907,13
107,25.8,0.769230769,0.25,0.413793103,0.586206897,0.25,0.352112676,0.25,0.25,0.25,0.25,0.25,0,0,0,43908,13
108,80.2,0.540466392,0.118748254,0.526857779,0.473142221,0.013888889,0.349357183,0.006993007,0.006944444,0.027895182,0.014021312,0.006944444,0,0,0,43910,13
109,20.5,0.892857143,0.5,0.404761905,0.595238095,0.333333333,0.531914894,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,43911,13
110,64,0.385638298,0.083056478,0.568493151,0.431506849,0.079872204,0.163934426,0.079872204,0.076923077,0.06271777,0.080128205,0.079365079,0,0,0,43912,13
111,51.5,0.519230769,0.173267327,0.562962963,0.437037037,0.058275058,0.301980198,0.058823529,0.055555556,0.089330025,0.058962264,0.055555556,0,0,0,43914,13
112,14.8,0.842696629,0.5,0.456521739,0.543478261,0.333333333,0.404761905,0.333333333,0.333333333,0.641025641,0.333333333,0.333333333,0,0,0,43918,13
113,72.5,0.344907407,0.068870523,0.498533724,0.501466276,0.068493151,0.313782991,0.069060773,0.066666667,0.070422535,0.068493151,0.066666667,0,0,0,43919,13
114,18.2,0.857142857,0.5,0.5,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0,0,0,45902,13
115,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,45903,13
116,45.9,0.483544304,0.110320285,0.517605634,0.482394366,0.081967213,0.252669039,0.081967213,0.076923077,0.086206897,0.076923077,0.081967213,0,0,0,46901,13
